date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
9/30/01,2001,0,,NE,IND,1413.04,1628.672,0.295856529,0.704143471,1465.435,1576.277,44,13
9/30/01,2001,0,,BUF,PIT,1470.398,1495.157,0.557653877,0.442346123,1437.561,1527.994,3,20
9/30/01,2001,0,,PHI,DAL,1562.519,1403.494,0.784078049,0.215921951,1574.808,1391.205,40,18
10/1/01,2001,0,,NYJ,SF,1525.855,1451.33,0.690652265,0.309347735,1509.653,1467.533,17,19
10/7/01,2001,0,,SEA,JAX,1426.889,1504.377,0.482036059,0.517963941,1450.878,1480.387,24,15
10/7/01,2001,0,,CLE,LAC,1396.172,1459.561,0.502318399,0.497681601,1412.18,1443.553,20,16
10/7/01,2001,0,,TB,GB,1565.411,1622.914,0.510787376,0.489212624,1581.104,1607.22,14,10
10/7/01,2001,0,,SF,CAR,1467.533,1474.095,0.583314845,0.416685155,1486.999,1454.628,24,14
10/7/01,2001,0,,BAL,TEN,1641.258,1554.75,0.705192904,0.294807096,1657.784,1538.225,26,7
10/7/01,2001,0,,OAK,DAL,1608.333,1391.205,0.835354199,0.164645801,1614.402,1385.136,28,21
10/7/01,2001,0,,PIT,CIN,1527.994,1419.672,0.730610389,0.269389611,1539.494,1408.172,16,7
10/7/01,2001,0,,PHI,ARI,1574.808,1293.136,0.8803348,0.1196652,1560.321,1307.623,20,21
10/7/01,2001,0,,NYG,WSH,1585.64,1406.45,0.803082191,0.196917809,1595.24,1396.85,23,9
10/7/01,2001,0,,NO,MIN,1521.385,1505.721,0.614043075,0.385956925,1541.036,1486.07,28,15
10/7/01,2001,0,,MIA,NE,1578.308,1465.435,0.735735327,0.264264673,1593.195,1450.548,30,10
10/7/01,2001,0,,ATL,CHI,1449.366,1436.13,0.610725446,0.389274554,1406.719,1478.776,3,31
10/7/01,2001,0,,BUF,NYJ,1437.561,1509.653,0.489795209,0.510204791,1418.56,1528.653,36,42
10/7/01,2001,0,,DEN,KC,1568.392,1490.743,0.694481174,0.305518826,1583.932,1475.203,20,6
10/8/01,2001,0,,DET,LAR,1456.476,1612.234,0.372280678,0.627719322,1430.852,1637.858,0,35
10/14/01,2001,0,,GB,BAL,1607.22,1657.784,0.520763127,0.479236873,1628.142,1636.861,31,23
10/14/01,2001,0,,IND,OAK,1576.277,1614.402,0.53859928,0.46140072,1556.738,1633.942,18,23
10/14/01,2001,0,,CIN,CLE,1408.172,1412.18,0.586883858,0.413116142,1427.45,1392.902,24,14
10/14/01,2001,0,,SEA,DEN,1450.878,1583.932,0.403296019,0.596703981,1483.378,1551.432,34,21
10/14/01,2001,0,,CHI,ARI,1478.776,1307.623,0.795663131,0.204336869,1486.451,1299.949,20,13
10/14/01,2001,0,,KC,PIT,1475.203,1539.494,0.501020332,0.498979668,1461.307,1553.389,17,20
10/14/01,2001,0,,TEN,TB,1538.225,1581.104,0.531791731,0.468208269,1551.077,1568.252,31,28
10/14/01,2001,0,,LAR,NYG,1637.858,1595.24,0.650104597,0.349895403,1642.483,1590.615,15,14
10/14/01,2001,0,,CAR,NO,1454.628,1541.036,0.469230342,0.530769658,1444.418,1551.247,25,27
10/14/01,2001,0,,ATL,SF,1406.719,1486.999,0.478024479,0.521975521,1388.244,1505.475,31,37
10/14/01,2001,0,,NE,LAC,1450.548,1443.553,0.602151198,0.397848802,1461.229,1432.872,29,26
10/14/01,2001,0,,MIN,DET,1486.07,1430.852,0.666418455,0.333581545,1497.405,1419.517,31,26
10/14/01,2001,0,,NYJ,MIA,1528.653,1593.195,0.500659115,0.499340885,1544.723,1577.126,21,17
10/15/01,2001,0,,DAL,WSH,1385.136,1396.85,0.576089058,0.423910942,1394.23,1387.756,9,7
10/18/01,2001,0,,JAX,BUF,1480.387,1418.56,0.674821708,0.325178292,1460.533,1438.415,10,13
10/21/01,2001,0,,TB,PIT,1568.252,1553.389,0.612949739,0.387050261,1541.8,1579.841,10,17
10/21/01,2001,0,,NO,ATL,1551.247,1388.244,0.787929654,0.212070346,1514.689,1424.802,13,20
10/21/01,2001,0,,MIN,GB,1497.405,1628.142,0.406509818,0.593490182,1535.769,1589.778,35,13
10/21/01,2001,0,,DET,TEN,1419.517,1551.077,0.405367342,0.594632658,1408.608,1561.987,24,27
10/21/01,2001,0,,IND,NE,1556.738,1461.229,0.715849125,0.284150875,1509,1508.966,17,38
10/21/01,2001,0,,CLE,BAL,1392.902,1636.861,0.26305099,0.73694901,1431.374,1598.389,24,14
10/21/01,2001,0,,CIN,CHI,1427.45,1486.451,0.508632397,0.491367603,1394.616,1519.285,0,24
10/21/01,2001,0,,ARI,KC,1299.949,1461.307,0.36477901,0.63522099,1329.142,1432.114,24,16
10/21/01,2001,0,,NYJ,LAR,1544.723,1642.483,0.452993795,0.547006205,1517.545,1669.661,14,34
10/21/01,2001,0,,LAC,DEN,1432.872,1551.432,0.423525802,0.576474198,1467.028,1517.276,27,10
10/21/01,2001,0,,WSH,CAR,1387.756,1444.418,0.511997043,0.488002957,1401.235,1430.939,17,14
10/22/01,2001,0,,NYG,PHI,1590.615,1560.321,0.633800591,0.366199409,1581.431,1569.505,9,10
10/25/01,2001,0,,KC,IND,1432.114,1509,0.482901341,0.517098659,1412.139,1528.976,28,35
10/28/01,2001,0,,CAR,NYJ,1430.939,1517.545,0.468946487,0.531053513,1424.501,1523.983,12,13
10/28/01,2001,0,,LAR,NO,1669.661,1514.689,0.780101956,0.219898044,1645.629,1538.721,31,34
10/28/01,2001,0,,BAL,JAX,1598.389,1460.533,0.762735001,0.237264999,1601.401,1457.521,18,17
10/28/01,2001,0,,SEA,MIA,1483.378,1577.126,0.458722461,0.541277539,1468.803,1591.701,20,24
10/28/01,2001,0,,TB,MIN,1541.8,1535.769,0.600821045,0.399178955,1567.571,1509.998,41,14
10/28/01,2001,0,,WSH,NYG,1401.235,1581.431,0.340038763,0.659961237,1438.954,1543.712,35,21
10/28/01,2001,0,,CHI,SF,1519.285,1505.475,0.611510701,0.388489299,1533.881,1490.878,37,31
10/28/01,2001,0,,DAL,ARI,1394.23,1329.142,0.678927354,0.321072646,1410.649,1312.723,17,3
10/28/01,2001,0,,PHI,OAK,1569.505,1633.942,0.500810221,0.499189779,1545.481,1657.966,10,20
10/28/01,2001,0,,LAC,BUF,1467.028,1438.415,0.63155178,0.36844822,1476.827,1428.616,27,24
10/28/01,2001,0,,DET,CIN,1408.608,1394.616,0.611759563,0.388240437,1388.183,1415.041,27,31
10/28/01,2001,0,,DEN,NE,1517.276,1508.966,0.603963236,0.396036764,1536.323,1489.918,31,20
10/29/01,2001,0,,PIT,TEN,1579.841,1561.987,0.61702645,0.38297355,1604.438,1537.39,34,7
11/4/01,2001,0,,GB,TB,1589.778,1567.571,0.622930127,0.377069873,1594.806,1562.543,21,20
11/4/01,2001,0,,ARI,PHI,1312.723,1545.481,0.275739875,0.724260125,1298.847,1559.358,7,21
11/4/01,2001,0,,CHI,CLE,1533.881,1431.374,0.723971479,0.276028521,1543.863,1421.392,27,21
11/4/01,2001,0,,BUF,IND,1428.616,1528.976,0.449287841,0.550712159,1403.56,1554.032,14,30
11/4/01,2001,0,,ATL,NE,1424.802,1489.918,0.499833063,0.500166937,1397.732,1516.988,10,24
11/4/01,2001,0,,SF,DET,1490.878,1388.183,0.724187693,0.275812307,1502.14,1376.921,21,13
11/4/01,2001,0,,WSH,SEA,1438.954,1468.803,0.55041446,0.44958554,1462.311,1445.446,27,14
11/4/01,2001,0,,TEN,JAX,1537.39,1457.521,0.697185899,0.302814101,1546.535,1448.376,28,24
11/4/01,2001,0,,LAC,KC,1476.827,1412.139,0.678425219,0.321574781,1450.992,1437.973,20,25
11/4/01,2001,0,,MIA,CAR,1591.701,1424.501,0.791938602,0.208061398,1602.58,1413.622,23,6
11/4/01,2001,0,,PIT,BAL,1604.438,1601.401,0.596680431,0.403319569,1587.367,1618.472,10,13
11/4/01,2001,0,,NYG,DAL,1543.712,1410.649,0.75770576,0.24229424,1549.875,1404.486,27,24
11/4/01,2001,0,,NO,NYJ,1538.721,1523.983,0.612779016,0.387220984,1512.278,1550.426,9,16
11/5/01,2001,0,,OAK,DEN,1657.966,1536.323,0.745433432,0.254566568,1669.22,1525.069,38,28
11/11/01,2001,0,,ARI,NYG,1298.847,1549.875,0.255238953,0.744761047,1289.06,1559.662,10,17
11/11/01,2001,0,,DEN,LAC,1525.069,1450.992,0.690101009,0.309898991,1539.048,1437.014,26,16
11/11/01,2001,0,,LAR,CAR,1645.629,1413.622,0.846798631,0.153201369,1655.227,1404.024,48,14
11/11/01,2001,0,,ATL,DAL,1397.732,1404.486,0.583046182,0.416953818,1414.625,1387.592,20,13
11/11/01,2001,0,,CHI,GB,1543.863,1594.806,0.520218618,0.479781382,1520.856,1617.814,12,20
11/11/01,2001,0,,CLE,PIT,1421.392,1587.367,0.35864299,0.64135701,1411.884,1596.874,12,15
11/11/01,2001,0,,IND,MIA,1554.032,1602.58,0.523658651,0.476341349,1539.403,1617.208,24,27
11/11/01,2001,0,,DET,TB,1376.921,1562.543,0.33306475,0.66693525,1368.167,1571.297,17,20
11/11/01,2001,0,,JAX,CIN,1448.376,1415.041,0.637853952,0.362146048,1468.415,1395.002,30,13
11/11/01,2001,0,,NE,BUF,1516.988,1403.56,0.736356028,0.263643972,1528.684,1391.865,21,11
11/11/01,2001,0,,NYJ,KC,1550.426,1437.973,0.735264986,0.264735014,1565.342,1423.056,27,7
11/11/01,2001,0,,PHI,MIN,1559.358,1509.998,0.658880444,0.341119556,1581.834,1487.522,48,17
11/11/01,2001,0,,SEA,OAK,1445.446,1669.22,0.286186789,0.713813211,1477.442,1637.224,34,27
11/11/01,2001,0,,SF,NO,1502.14,1512.278,0.578303037,0.421696963,1507.844,1506.574,28,27
11/12/01,2001,0,,TEN,BAL,1546.535,1618.472,0.490018181,0.509981819,1527.524,1637.483,10,16
11/18/01,2001,0,,NE,LAR,1528.684,1655.227,0.412347345,0.587652655,1512.001,1671.909,17,24
11/18/01,2001,0,,TB,CHI,1571.297,1520.856,0.660277662,0.339722338,1551.977,1540.176,24,27
11/18/01,2001,0,,PIT,JAX,1596.874,1468.415,0.752807008,0.247192992,1608.866,1456.423,20,7
11/18/01,2001,0,,BAL,CLE,1637.483,1411.884,0.841951746,0.158048254,1590.959,1458.408,17,27
11/18/01,2001,0,,OAK,LAC,1637.224,1437.014,0.82151879,0.17848121,1644.863,1429.375,34,24
11/18/01,2001,0,,BUF,SEA,1391.865,1477.442,0.470421892,0.529578108,1378.943,1490.364,20,23
11/18/01,2001,0,,CAR,SF,1404.024,1507.844,0.444364858,0.555635142,1391.917,1519.951,22,25
11/18/01,2001,0,,CIN,TEN,1395.002,1527.524,0.404033208,0.595966792,1374.312,1548.215,7,20
11/18/01,2001,0,,ARI,DET,1289.06,1368.167,0.479709544,0.520290456,1310.837,1346.389,45,38
11/18/01,2001,0,,DAL,PHI,1387.592,1581.834,0.322135149,0.677864851,1366.134,1603.293,3,36
11/18/01,2001,0,,DEN,WSH,1539.048,1462.311,0.693366131,0.306633869,1508.226,1493.133,10,17
11/18/01,2001,0,,GB,ATL,1617.814,1414.625,0.824019352,0.175980648,1591.796,1440.644,20,23
11/18/01,2001,0,,MIA,NYJ,1617.208,1565.342,0.66211525,0.33788475,1572.192,1610.359,0,24
11/18/01,2001,0,,NO,IND,1506.574,1539.403,0.546165925,0.453834075,1530.8,1515.177,34,20
11/19/01,2001,0,,MIN,NYG,1487.522,1559.662,0.48972616,0.51027384,1513.783,1533.401,28,16
11/22/01,2001,0,,DET,GB,1346.389,1591.796,0.261438332,0.738561668,1341.08,1597.105,27,29
11/22/01,2001,0,,DAL,DEN,1366.134,1508.226,0.390841301,0.609158699,1357.837,1516.523,24,26
11/25/01,2001,0,,BUF,MIA,1378.943,1572.192,0.323384622,0.676615378,1366.235,1584.9,27,34
11/25/01,2001,0,,PHI,WSH,1603.293,1493.133,0.732687719,0.267312281,1565.115,1531.311,3,13
11/25/01,2001,0,,TEN,PIT,1548.215,1608.866,0.506258387,0.493741613,1523.888,1633.194,24,34
11/25/01,2001,0,,NYG,OAK,1533.401,1644.863,0.43353156,0.56646844,1508.399,1669.865,10,28
11/25/01,2001,0,,NE,NO,1512.001,1530.8,0.566099432,0.433900568,1536.568,1506.233,34,17
11/25/01,2001,0,,MIN,CHI,1513.783,1540.176,0.555332385,0.444667615,1490.275,1563.685,6,13
11/25/01,2001,0,,KC,SEA,1423.056,1490.364,0.49667857,0.50332143,1448.903,1464.517,19,7
11/25/01,2001,0,,IND,SF,1515.177,1519.951,0.585814374,0.414185626,1479.091,1556.037,21,40
11/25/01,2001,0,,CLE,CIN,1458.408,1374.312,0.702298154,0.297701846,1474.827,1357.893,18,0
11/25/01,2001,0,,CAR,ATL,1391.917,1440.644,0.52340162,0.47659838,1377.297,1455.263,7,10
11/25/01,2001,0,,JAX,BAL,1456.423,1590.959,0.401244734,0.598755266,1445.639,1601.743,21,24
11/25/01,2001,0,,LAC,ARI,1429.375,1310.837,0.7420268,0.2579732,1406.929,1333.283,17,20
11/26/01,2001,0,,LAR,TB,1671.909,1551.977,0.74355989,0.25644011,1638.148,1585.739,17,24
11/29/01,2001,0,,KC,PHI,1448.903,1565.115,0.426829163,0.573170837,1426.887,1587.131,10,23
12/2/01,2001,0,,MIA,DEN,1584.9,1516.523,0.683040409,0.316959591,1599.752,1501.671,21,10
12/2/01,2001,0,,CIN,TB,1357.893,1585.739,0.281422406,0.718577594,1350.628,1593.004,13,16
12/2/01,2001,0,,PIT,MIN,1633.194,1490.275,0.767968927,0.232031073,1640.79,1482.678,21,16
12/2/01,2001,0,,NYJ,NE,1610.359,1536.568,0.689748808,0.310251192,1600.153,1546.774,16,17
12/2/01,2001,0,,BAL,IND,1601.743,1479.091,0.746534052,0.253465948,1613.724,1467.11,39,27
12/2/01,2001,0,,SEA,LAC,1464.517,1406.929,0.669444403,0.330555597,1473.198,1398.248,13,10
12/2/01,2001,0,,SF,BUF,1556.037,1366.235,0.812564151,0.187435849,1568.077,1354.195,35,0
12/2/01,2001,0,,WSH,DAL,1531.311,1357.837,0.797826787,0.202173213,1496.486,1392.662,14,20
12/2/01,2001,0,,NO,CAR,1506.233,1377.297,0.753317622,0.246682378,1513.53,1370,27,23
12/2/01,2001,0,,ATL,LAR,1455.263,1638.148,0.336573704,0.663426296,1433.533,1659.878,6,35
12/2/01,2001,0,,OAK,ARI,1669.865,1333.283,0.909840732,0.090159268,1639.006,1364.142,31,34
12/2/01,2001,0,,CHI,DET,1563.685,1341.08,0.839644783,0.160355217,1567.616,1337.148,13,10
12/2/01,2001,0,,CLE,TEN,1474.827,1523.888,0.522921986,0.477078014,1444.979,1553.735,15,31
12/3/01,2001,0,,JAX,GB,1445.639,1597.105,0.378072322,0.621927678,1430.51,1612.234,21,28
12/9/01,2001,0,,NE,CLE,1546.774,1444.979,0.723151677,0.276848323,1559.563,1432.19,27,16
12/9/01,2001,0,,TB,DET,1593.004,1337.148,0.863773967,0.136226033,1596.3,1333.851,15,12
12/9/01,2001,0,,DEN,SEA,1501.671,1473.198,0.63136423,0.36863577,1520.335,1454.534,20,7
12/9/01,2001,0,,DAL,NYG,1392.662,1508.399,0.427498237,0.572501763,1417.033,1484.027,20,13
12/9/01,2001,0,,ARI,WSH,1364.142,1496.486,0.404279958,0.595720042,1345.33,1515.298,10,20
12/9/01,2001,0,,CIN,JAX,1350.628,1430.51,0.478596169,0.521403831,1335.326,1445.812,10,14
12/9/01,2001,0,,BUF,CAR,1354.195,1370,0.570327921,0.429672079,1360.022,1364.174,25,24
12/9/01,2001,0,,PIT,NYJ,1640.79,1600.153,0.647506227,0.352493773,1657.506,1583.438,18,7
12/9/01,2001,0,,ATL,NO,1433.533,1513.53,0.478430976,0.521569024,1405.549,1541.514,10,28
12/9/01,2001,0,,LAR,SF,1659.878,1568.077,0.711487434,0.288512566,1674.093,1553.862,27,14
12/9/01,2001,0,,GB,CHI,1612.234,1567.616,0.652718879,0.347281121,1628.098,1551.752,17,7
12/9/01,2001,0,,MIN,TEN,1482.678,1553.735,0.491284159,0.508715841,1512.719,1523.694,42,24
12/9/01,2001,0,,PHI,LAC,1587.131,1398.248,0.811757103,0.188242897,1595.225,1390.154,24,14
12/9/01,2001,0,,OAK,KC,1639.006,1426.887,0.831349982,0.168650018,1642.297,1423.596,28,26
12/10/01,2001,0,,MIA,IND,1599.752,1467.11,0.757260563,0.242739437,1615.715,1451.147,41,6
12/15/01,2001,0,,LAC,OAK,1390.154,1642.297,0.254020773,0.745979227,1380.418,1652.033,6,13
12/15/01,2001,0,,NYG,ARI,1484.027,1345.33,0.763609997,0.236390003,1490.991,1338.366,17,13
12/16/01,2001,0,,IND,ATL,1451.147,1405.549,0.653996535,0.346003465,1468.99,1387.706,41,27
12/16/01,2001,0,,CLE,JAX,1432.19,1445.812,0.573404597,0.426595403,1411.151,1466.851,10,15
12/16/01,2001,0,,CHI,TB,1551.752,1596.3,0.529398845,0.470601155,1581.769,1566.283,27,3
12/16/01,2001,0,,BUF,NE,1360.022,1559.563,0.315510736,0.684489264,1351.778,1567.807,9,12
12/16/01,2001,0,,TEN,GB,1523.694,1628.098,0.443534976,0.556465024,1545.746,1606.047,26,20
12/16/01,2001,0,,KC,DEN,1423.596,1520.335,0.454450544,0.545549456,1438.944,1504.988,26,23
12/16/01,2001,0,,DET,MIN,1333.851,1512.719,0.341756394,0.658243606,1353.098,1493.472,27,24
12/16/01,2001,0,,SF,MIA,1553.862,1615.715,0.504528773,0.495471227,1584.448,1585.128,21,0
12/16/01,2001,0,,SEA,DAL,1454.534,1417.033,0.643375055,0.356624945,1476.995,1394.572,29,3
12/16/01,2001,0,,BAL,PIT,1613.724,1657.506,0.530497252,0.469502748,1594.528,1676.702,21,26
12/16/01,2001,0,,NYJ,CIN,1583.438,1335.326,0.858442968,0.141557032,1585.156,1333.608,15,14
12/16/01,2001,0,,WSH,PHI,1515.298,1595.225,0.478531528,0.521468472,1489.555,1620.968,6,20
12/17/01,2001,0,,NO,LAR,1541.514,1674.093,0.403954202,0.596045798,1520.828,1694.779,21,34
12/22/01,2001,0,,NE,MIA,1567.807,1585.128,0.568188085,0.431811915,1585.384,1567.551,20,13
12/22/01,2001,0,,OAK,TEN,1652.033,1545.746,0.728298555,0.271701445,1630.135,1567.644,10,13
12/22/01,2001,0,,SF,PHI,1584.448,1620.968,0.54089446,0.45910554,1606.185,1599.231,13,3
12/23/01,2001,0,,BAL,CIN,1594.528,1333.608,0.867167859,0.132832141,1601.084,1327.053,16,0
12/23/01,2001,0,,KC,LAC,1438.944,1380.418,0.670638169,0.329361831,1447.59,1371.772,20,17
12/23/01,2001,0,,CAR,LAR,1364.174,1694.779,0.178148056,0.821851944,1357.987,1700.965,32,38
12/23/01,2001,0,,ATL,BUF,1387.706,1351.778,0.641294776,0.358705224,1397.216,1342.269,33,30
12/23/01,2001,0,,IND,NYJ,1468.99,1585.156,0.426893946,0.573106054,1463.206,1590.939,28,29
12/23/01,2001,0,,ARI,DAL,1338.366,1394.572,0.512652881,0.487347119,1358.553,1374.385,17,10
12/23/01,2001,0,,GB,CLE,1606.047,1411.151,0.816989339,0.183010661,1616.45,1400.747,30,7
12/23/01,2001,0,,MIN,JAX,1493.472,1466.851,0.628879504,0.371120496,1448.404,1511.919,3,33
12/23/01,2001,0,,NYG,SEA,1490.991,1476.995,0.611765032,0.388234968,1501.382,1466.604,27,24
12/23/01,2001,0,,PIT,DET,1676.702,1353.098,0.903521912,0.096478088,1682.485,1347.315,47,14
12/23/01,2001,0,,TB,NO,1566.283,1520.828,0.65381024,0.34618976,1588.251,1498.859,48,21
12/23/01,2001,0,,WSH,CHI,1489.555,1581.769,0.460915804,0.539084196,1473.24,1598.084,15,20
12/29/01,2001,0,,TB,BAL,1588.251,1601.084,0.574515215,0.425484785,1609.573,1579.763,22,10
12/30/01,2001,0,,LAC,SEA,1371.772,1466.604,0.457173496,0.542826504,1359.266,1479.11,22,25
12/30/01,2001,0,,CAR,ARI,1357.987,1358.553,0.591679312,0.408320688,1319.245,1397.296,7,30
12/30/01,2001,0,,CIN,PIT,1327.053,1682.485,0.158176219,0.841823781,1353.943,1655.594,26,23
12/30/01,2001,0,,DAL,SF,1374.385,1606.185,0.276842561,0.723157439,1404.838,1575.732,27,21
12/30/01,2001,0,,DEN,OAK,1504.988,1630.135,0.414295972,0.585704028,1528.423,1606.7,23,17
12/30/01,2001,0,,DET,CHI,1347.315,1598.084,0.255522469,0.744477531,1332.146,1613.253,0,24
12/30/01,2001,0,,GB,MIN,1616.45,1448.404,0.792739895,0.207260105,1625.764,1439.09,24,13
12/30/01,2001,0,,MIA,ATL,1567.551,1397.216,0.794896495,0.205103505,1575.256,1389.51,21,14
12/30/01,2001,0,,JAX,KC,1511.919,1447.59,0.6779742,0.3220258,1488.733,1470.776,26,30
12/30/01,2001,0,,LAR,IND,1700.965,1463.206,0.851045018,0.148954982,1709.497,1454.674,42,17
12/30/01,2001,0,,NO,WSH,1498.859,1473.24,0.627532318,0.372467682,1453.909,1518.19,10,40
12/30/01,2001,0,,NYJ,BUF,1590.939,1342.269,0.85883285,0.14116715,1555.045,1378.163,9,14
12/30/01,2001,0,,TEN,CLE,1567.644,1400.747,0.791651059,0.208348941,1543.108,1425.283,38,41
12/30/01,2001,0,,PHI,NYG,1599.231,1501.382,0.718581086,0.281418914,1606.496,1494.117,24,21
1/6/02,2001,0,,DET,DAL,1332.146,1404.838,0.48893213,0.51106787,1350.524,1386.459,15,10
1/6/02,2001,0,,CHI,JAX,1613.253,1488.733,0.748563359,0.251436641,1627.349,1474.637,33,13
1/6/02,2001,0,,TEN,CIN,1543.108,1353.943,0.812005033,0.187994967,1522.936,1374.115,21,23
1/6/02,2001,0,,PIT,CLE,1655.594,1425.283,0.845527782,0.154472218,1664.014,1416.863,28,7
1/6/02,2001,0,,OAK,NYJ,1606.7,1555.045,0.661843465,0.338156535,1591.344,1570.401,22,24
1/6/02,2001,0,,SEA,KC,1479.11,1470.776,0.603996281,0.396003719,1489.736,1460.151,21,18
1/6/02,2001,0,,TB,PHI,1609.573,1606.496,0.596735842,0.403264158,1589.751,1626.318,13,17
1/6/02,2001,0,,WSH,ARI,1518.19,1397.296,0.744614389,0.255385611,1524.719,1390.767,20,17
1/6/02,2001,0,,CAR,NE,1319.245,1585.384,0.239058324,0.760941676,1303.928,1600.701,6,38
1/6/02,2001,0,,IND,DEN,1454.674,1528.423,0.487411838,0.512588162,1485.508,1497.589,29,10
1/6/02,2001,0,,NO,SF,1453.909,1575.732,0.418946531,0.581053469,1423.985,1605.656,0,38
1/6/02,2001,0,,NYG,GB,1494.117,1625.764,0.40524663,0.59475337,1476.004,1643.877,25,34
1/6/02,2001,0,,LAR,ATL,1709.497,1389.51,0.901691621,0.098308379,1714.424,1384.583,31,13
1/6/02,2001,0,,MIA,BUF,1575.256,1378.163,0.818872707,0.181127293,1586.042,1367.377,34,7
1/7/02,2001,0,,BAL,MIN,1579.763,1439.09,0.765657094,0.234342906,1591.906,1426.946,19,3
1/12/02,2001,0,w,PHI,TB,1626.318,1589.751,0.642140494,0.357859506,1647.769,1568.3,31,9
